idx,name,price
1,가락동,0.7884233603575076
2,가리봉동,0.38069273852672236
3,가산동,0.3296676716758218
4,가양동,0.42083619577797743
5,가회동,0.6545841446813396
6,갈월동,0.9812371431903424
7,갈현동,0.3743734883226746
8,강일동,0.07834123925968466
9,개봉동,0.33017978068070525
10,개포동,0.5749665188266352
11,개화동,0.03033411299661769
12,거여동,0.5274713958816102
13,견지동,1.1279874500708125
14,경운동,0.9073562884557831
15,계동,0.5839582409082885
16,고덕동,0.24032412663073216
17,고척동,0.3292904721885976
18,공덕동,0.6989034122780149
19,공릉동,0.2997643987522531
20,공평동,1.949529482032324
21,공항동,0.3281527675237614
22,과해동,0.00010361597372303835
23,관수동,1.8795693756059677
24,관철동,3.7307588657362265
25,관훈동,1.7820971856537657
26,광장동,0.3391842731825755
27,광희동1가,0.9700259639999059
28,광희동2가,0.6833404421509968
29,교남동,1.2545799822784744
30,교북동,0.6784909237331844
31,구기동,0.21894862999188486
32,구로동,0.3706609294338964
33,구산동,0.3141800457156008
34,구수동,0.5834612396043051
35,구의동,0.4969942572163097
36,군자동,0.48201612137095123
37,궁동,0.2006594257599466
38,궁정동,0.45046113821991063
39,권농동,0.41914226356178264
40,금호동1가,0.3576088732994684
41,금호동2가,0.45831226991675306
42,금호동3가,0.5012804298137276
43,금호동4가,0.49788261121982635
44,길동,0.5585864371713761
45,길음동,0.5006914342033673
46,낙원동,1.3711611478015957
47,남가좌동,0.45128393175841336
48,남대문로1가,3.4422473309056922
49,남대문로2가,4.306966634421342
50,남대문로3가,3.2088270553225637
51,남대문로4가,2.8925150967104694
52,남대문로5가,1.6809391308111332
53,남산동1가,0.7777378930705938
54,남산동2가,0.5601167717396047
55,남산동3가,0.7181052385479202
56,남영동,1.4330346905207805
57,남창동,2.222874282264512
58,남학동,0.5312458097805999
59,남현동,0.5436275870909956
60,내곡동,0.10575140253739815
61,내발산동,0.38773377630889827
62,내수동,0.9464140367258076
63,내자동,1.052969644951516
64,냉천동,0.5676368768738045
65,노고산동,0.8636539187192215
66,노량진동,0.6251960845623474
67,녹번동,0.3598096151112456
68,논현동,1.30125539317937
69,누상동,0.4574694433996508
70,누하동,0.6480848279326095
71,능동,0.48299116960994526
72,다동,3.023611491728626
73,답십리동,0.4040212593076376
74,당산동,0.30655643792215315
75,당산동1가,0.5275641510560843
76,당산동2가,0.5952896185805151
77,당산동3가,0.6240814485816042
78,당산동4가,0.52674671822907
79,당산동5가,0.5534789810492035
80,당산동6가,0.48287947038373247
81,당인동,0.5442023139913762
82,당주동,2.12764732654681
83,대림동,0.39402718272726456
84,대방동,0.46098994474696237
85,대신동,0.5204335098102003
86,대조동,0.47660177878920773
87,대치동,1.4655854394805035
88,대현동,1.4189701259129317
89,대흥동,0.6913673036669127
90,도곡동,0.9914155912251171
91,도렴동,2.1267923852933097
92,도림동,0.3126753049459388
93,도봉동,0.21497433176801362
94,도선동,0.7307902580431533
95,도원동,0.7046386293992835
96,도화동,0.9026668602887621
97,독산동,0.3380965003117354
98,돈암동,0.2476862729590307
99,돈의동,0.9288368051455422
100,동교동,1.163995177554842
